Development Stage,Material Classification,Sample Submission Date,Material Code,Active Mfg Count,Company,Material Name,Manufacturer Name,Origin,Indentor Name,Development Rates,Com Mfg Name,Net Price in USD,Per Lot Qty,UOM,Annual Qty,Existing source Total annual value,Under Dev source Total annual value,Net Saving/Loss,%Age Saving/Loss,Saving/Loss,Best Net Saving/Loss,Existing source Total annual value (10% Qty),Under Dev source Total annual value (10% Qty),Net Saving/Loss (10% Qty),%Age Saving/Loss (10% Qty),Saving/Loss (10% Qty),Annual Net Saving
INITIAL TESTING,Single Origin,03/08/2026,111000118,2,LAB,HYDROCORTISONE BP,Zhejiang Xianju,China,Neon,$0.19,"LIJIANG YINGHUA BIOCHEMICAL AND PHARMACEUTICAL CO., LTD.",$0.20,30000,G,120000,23400,22800,$600,3,Saving,$600,23400,22800,600,3,Saving,$600
INITIAL TESTING,MULTI SOURCE,03/08/2026,111000301,2,LAB,CLOBETASOL PROPIONATE USP,Zhejiang Xianju,China,Neon,$0.755,ANUH PHARMA,$0.76,30000,G,135000,101925,101925,$0,0,No Change,,101925,101925,0,0,No Change,
INITIAL TESTING,SINGLE SOURCE,24/08/2026,111000448,1,LAB,Neocel (AVICEL RC-591),"Mingtai Chemical, Taiwan",Taiwan,Pentalam,$10.,,,,,,,,,,,,,,,,,
AT STABILITY,NON INDIAN,23/07/2024,111000359,1,LAB,IPRATROPIUM BROMIDE BP,"Risen Sun pharma (JEWIM PHARMACEUTICAL(SHANDONG) CO.,LTD)",India,BIOFAR,$2.4,AARTI PHARMALABS LIMITED,$2.90,3125,G,6000,17400,14400,"$3,000",17,Saving,"$3,000",17400,14400,3000,17,Saving,"$3,000"
AT STABILITY,SINGLE SOURCE,24/06/2025,111000134,1,LAB,PHENYLETHYL ALCOHOL USP/NF,Kemicas Chemcals,Pakistan,Kemicas Chemcals,$28.,PERFUME SUPPLY COMPANY.,$11.88,400,L,3200,38017.97914,89600,"($51,582)",-136,Loss,"($51,582)",3801.797914,8960,-5158.202086,-136,Loss,"($5,158)"
AT STABILITY,CORE INDIAN,25/11/2025,111000210,2,LAB,ADAPALENE BP,Aarti Pharma Labs. Ltd,India,Rasheed sons,$2.7,VIRDEV INTERMEDIATES PVT. LTD,$2.25,5000,G,33000,74250,89100,"($14,850)",-20,Loss,"($14,850)",7425,8910,-1485,-20,Loss,"($1,485)"
AT STABILITY,CORE INDIAN,05/08/2025,111000252,1,LAB,PHENYLEPHRINE HYDROCHLORIDE USP,"SHENZHEN ORIENTAL\n(Non-Indian)",China,Rasheed sons,$0.51,DIVI'S LABORATORIES,$0.90,3000,G,5000,4500,2550,"$1,950",43,Saving,"$1,950",4500,2550,1950,43,Saving,"$1,950"
AT PD PRIORITY,PROJECT,10/09/2024,111000296,3,LAB,BETAMETHASONE DIPROPIONATE MICRONIZED BP,"Henan Lihua Pharmaceutical Co., Ltd.",China,SBR,$0.72,Anuh Pharma Ltd,$0.70,25000,G,200000,140000,144000,"($4,000)",-3,Loss,"($4,000)",140000,144000,-4000,-3,Loss,"($4,000)"
AT PD PRIORITY,MULTI SOURCE,10/09/2024,111000291,2,LAB,BETAMETHASONE SODIUM PHOSPHATE BP,"Henan Lihua Pharmaceutical Co., Ltd.",China,SBR,$0.72,ANUH PHARMA,$0.67,30000,G,65000,43225,46800,"($3,575)",-8,Loss,"($3,575)",43225,46800,-3575,-8,Loss,"($3,575)"
AT PD PRIORITY,MULTI SOURCE,10/09/2024,111000292,2,LAB,BETAMETHASONE VALERATE (MICRONIZED) BP,"Henan Lihua Pharmaceutical Co., Ltd.",China,SBR,$0.72,"ZHEJIANG XIANJU PHARMACEUICAL CO.,LTD",$0.68,50000,G,150000,102000,108000,"($6,000)",-6,Loss,"($6,000)",102000,108000,-6000,-6,Loss,"($6,000)"
AT PD PRIORITY,MULTI SOURCE,10/09/2024,111000301,2,LAB,CLOBETASOL PROPIONATE USP,"Henan Lihua Pharm.Co.,Ltd.",China,SBR,$0.68,ANUH PHARMA,$0.76,30000,G,135000,101925,91800,"$10,125",10,Saving,"$10,125",101925,91800,10125,10,Saving,"$10,125"
AT PD PRIORITY,MULTI SOURCE,10/09/2024,111000344,2,LAB,FLUOCINOLONE ACETONIDE USP,"Henan Lihua Pharmaceutical Co., Ltd.",China,SBR,$0.72,TIANJIN TIANYAO PHARMACEUTICALS (TIANJIN TAINFA PHARMACEUTICALS IMP. & EXP. CORP,$5.10,8000,G,26000,132600,18720,"$113,880",86,Saving,"$113,880",132600,18720,113880,86,Saving,"$113,880"
AT PD PRIORITY,SINGLE SOURCE,01/10/2024,111000353,1,LAB,GRAMICIDIN USP,CHONGQING DAXIN/HUIDA BITECH,China,Noshad trading,$18.,XELLIA PHARMACEUTICALS LTD.,$22.17,1000,G,1000,22170,18000,"$4,170",19,Saving,"$4,170",22170,18000,4170,19,Saving,"$4,170"
AT PD PRIORITY,MULTI SOURCE,15/11/2024,111000301,2,LAB,CLOBETASOL PROPIONATE USP,Stermone Chemicals Private Limited,India,Transworld,$0.68,ANUH PHARMA,$0.76,30000,G,135000,101925,91800,"$10,125",10,Saving,,101925,91800,10125,10,Saving,
AT PD PRIORITY,MULTI SOURCE,18/11/2024,111000298,2,LAB,BRIMONIDINE TARTRATE BP,Enaltec Labs Priivate Limited,India,BIOFAR,$5.75,INDOCO REMEDIES LTD,$6.50,2000,G,3000,19500,17250,"$2,250",12,Saving,"$2,250",19500,17250,2250,12,Saving,"$2,250"
AT PD PRIORITY,MULTI SOURCE,22/11/2024,111000244,2,LAB,NEPAFENAC MS,Jiangsu Yongan Pharmaceutical,China,Rasheed sons,$6.5,Henan Purui Pharmaceutical Co. Ltd.,$7.00,500,G,1500,10500,9750,$750,7,Saving,$750,10500,9750,750,7,Saving,$750
AT PD PRIORITY,NON INDIAN,21/03/2025,111000359,1,LAB,IPRATROPIUM BROMIDE BP,SAURAV CHEMICALS – India to SCL Lifesciences Ltd,India,Mansoor chem,$2.7,AARTI PHARMALABS LIMITED,$2.90,3125,G,6000,17400,16200,"$1,200",7,Saving,,17400,16200,1200,7,Saving,
AT PD PRIORITY,SINGLE SOURCE,08/10/2025,111000060,1,LAB,BUTYLATED HYDROXYANISOLE BP,Jiangxi Alpha Hi Tech,China,ADCHEM,$0.43,DALIAN PANASIA LTD,$0.02,20000,G,20000,359.5828839,8600,"($8,240)",-2292,Loss,"($8,240)",359.5828839,8600,-8240.417116,-2292,Loss,"($8,240)"
AT PD PRIORITY,SINGLE SOURCE,01/01/2026,114000022,1,AHL,CHOLECALCIFEROL(VIT.D3) USP,Jiangxi Tianxin Pharmaceutical Co. Ltd,China,-,$2.29,,,,,,,,,,,,,,,,,
AT PD PRIORITY,SINGLE SOURCE,01/01/2026,114000043,1,AHL,METHYLPARABEN USP/NF,Zhejiang Shengxiao Chamicals Co. Ltd.,China,-,$6.5,,,,,,,,,,,,,,,,,
AT PD PRIORITY,MULTI SOURCE,01/01/2026,114000033,4,AHL,MICROCRYSTALLINE CELLULOSE (PH 102) BP,Shandong Guangda Technological Development Co. Ltd.,China,-,$2.6,,,,,,,,,,,,,,,,,
AT PD PRIORITY,MULTI SOURCE,01/01/2026,114000033,4,AHL,MICROCRYSTALLINE CELLULOSE (PH 102) BP,"Mingtai Chemical Co., Ltd.",Taiwan,-,$2.55,,,,,,,,,,,,,,,,,
AT PD PRIORITY,NON INDIAN,01/01/2026,114000189,1,AHL,SHEFFCOAT PVA WHITE 5Y01440,"KERRY , BRAZIL",BRAZIL,-,$35.,,,,,,,,,,,,,,,,,
AT PD PRIORITY,MULTI SOURCE,01/01/2026,114000071,5,AHL,SODIUM LAURYL ETHER SULPHATE BP,KL-KEPONG OLEOMAS SDN BHD,Malaysia,-,$2.,,,,,,,,,,,,,,,,,
AT PD PRIORITY,Single Origin,01/01/2026,114000070,2,AHL,STEARIC ACID (MICRONIZED) USP/NF,Edenor Technology,Germany,-,$9.,,,,,,,,,,,,,,,,,
AT PD PRIORITY,SINGLE SOURCE,01/01/2026,114000069,1,AHL,SUCROSE BP,Al Khaleej Sugar,UAE,-,$1.47,,,,,,,,,,,,,,,,,
