Year,Material Code,Company,Material Name,Supplier Name,Manufacturer Name,PO Quantity,UOM,Net Price in USD,Historic Date,Latest Historic Net Price USD,Historic Supplier Name,Historic Manufacturer Name,Current Rate Total PO Value,Last Rate Total PO Value,Annual Net Saving in USD,% Age (Sav/Los),Mfg Status,Saving/Loss Impact
Jul-26,111000099,LAB,ISOPROPYL ALCOHOL BP, CHEMINOVA CORPORATION,LCY CHEMICAL (LEE CHANG YUNG TAIWAN.),10000,KG,1.761956131,12/06/2026 0:00,1.776339446, MARS CHEMICALS (PRIVATE),LCY CHEMICAL (LEE CHANG YUNG TAIWAN.),17619.56131,17763.39446,$144 ,0.809716599,Same Mfg,Positive
Jul-26,111000064,LAB,CARAMEL MS, UNITED CHEMICAL CORPORAT,D.D.Williamson Ingredients (Shanghai) Ltd.,90,KG,1.582164689,18/06/2026 0:00,1.866954333, UNITED CHEMICAL CORPORAT,D.D.Williamson Ingredients (Shanghai) Ltd.,142.394822,168.02589,$26 ,15.25423729,Same Mfg,Positive
Jul-26,111000126,LAB,MENTHOL BP, MEHRAN TRADERS,"SHANGHAI POLAR BEAR PHARMACEUTICAL CO., LTD",25,KG,20.67601582,13/05/2026 0:00,21.14347357, MEHRAN TRADERS,"SHANGHAI POLAR BEAR PHARMACEUTICAL CO., LTD",516.9003955,528.5868393,$12 ,2.210884354,Same Mfg,Positive
Jul-26,111000126,LAB,MENTHOL BP, MEHRAN TRADERS,"SHANGHAI POLAR BEAR PHARMACEUTICAL CO., LTD",25,KG,20.67601582,13/05/2026 0:00,21.14347357, MEHRAN TRADERS,"SHANGHAI POLAR BEAR PHARMACEUTICAL CO., LTD",516.9003955,528.5868393,$12 ,2.210884354,Same Mfg,Positive
Jul-26,111000126,LAB,MENTHOL BP, MEHRAN TRADERS,"SHANGHAI POLAR BEAR PHARMACEUTICAL CO., LTD",25,KG,20.67601582,13/05/2026 0:00,21.14347357, MEHRAN TRADERS,"SHANGHAI POLAR BEAR PHARMACEUTICAL CO., LTD",516.9003955,528.5868393,$12 ,2.210884354,Same Mfg,Positive
Jul-26,111000070,LAB,CITRIC ACID MONOHYDRATE BP, HAAMEEM,TTCA,200,KG,0.934915498,17/06/2026 0:00,0.89895721, HAAMEEM,TTCA,186.9830996,179.7914419,($7),-4,Same Mfg,Negative
Jul-26,111000037,LAB,SODIUM BENZOATE BP/USP, N.A. ENTERPISES.,WUHAN YOUJI INDUSTRIES,500,KG,1.438331535,13/05/2026 0:00,1.528227256, N.A. ENTERPISES.,WUHAN YOUJI INDUSTRIES,719.1657677,764.1136282,$45 ,5.882352941,Same Mfg,Positive
Jul-26,111000011,LAB,MAGNESIUM STEARATE BP, MANSOOR CHEM,"PETER GREVEN, MALAYSIA",500,KG,6.832074793,26/12/2025 0:00,5.933117584, AXIS CHEMICALS,"PETER GREVEN, MALAYSIA",3416.037397,2966.558792,($449),-15.15151515,Same Mfg,Negative
Jul-26,111000027,LAB,PROPYLPARABEN USP/NF, Szumex International,UENOFINE CHEM JAPAN,100,KG,8.216468896,13/05/2026 0:00,8.594030924, Szumex International,UENOFINE CHEM JAPAN,821.6468896,859.4030924,$38 ,4.393305439,Same Mfg,Positive
Jul-26,111000182,LAB,ANHYDROUS CALCIUM HYDROGEN PHOSPHATE, MARTIN DOW SPECIALITIES,MERCK Kgaa,2100,KG,18.98597627,30/06/2026 0:00,15.10248112, CHEM TECH PAKISTAN,MERCK Kgaa,39870.55016,31715.21036,"($8,155)",-25.71428571,Same Mfg,Negative
